BAI3;1
ATXN3L;1
ATG13;1
ARHGAP32;1
ARHGAP26;1
ARA267;1
APOBEC2;1
ALOX12;1
ADAM2;1
ABCG8;1
mycb;0
SRSF2;0
HMGA1;0
HIST1H4I;0
HIST1H4H;0
HIST1H4D;0
HIST1H4B;0
HIST1H2BG;0
HIST1H2BF;0
HIST1H2BE;0
HIST1H2BC;0
HIST1H2AL;0
HIST1H2AG;0
HIST1H2AD;0
HIST1H2AC;0
GPS2;0
DBL;0
AFM;0
